ID1,Prueba 1,ID2,Prueba 2,Pseudopalabras
W1001,Encontrar,W2001,Empezar,Avispura
W1002,Pequeño,W2002,Llevar,Treboteca
W1003,Esperar,W2003,Perder,Huezo
W1004,Tiempo,W2004,Venir,Calio
W1005,Trabajo,W2005,Alto,Desto
W1006,Solo,W2006,Verdad,Pran
W1007,Cuerpo,W2007,Mundo,Flierra
W1008,Creer,W2008,Buscar,Recebro
W1009,Mano,W2009,Viejo,Sunidad
W1010,Todo,W2010,Olvidar,Trin
W1011,Meter,W2011,Puerta,Empenser
W1012,Cara,W2012,Bastante,Mocer
W1013,Mostrar,W2013,Muerte,Tresar
W1014,Empresa,W2014,Intentar,Trumedecer
W1015,Fuerza,W2015,Fuerte,Maltar
W1016,Dinero,W2016,Subir,Impresiante
W1017,Descubrir,W2017,Miedo,Gustorio
W1018,Antiguo,W2018,Calle,Prano
W1019,Lanzar,W2019,Elegir,Acrusa
W1020,Suerte,W2020,Salud,Frujo
W1021,Asunto,W2021,Llorar,Fidro
W1022,Dolor,W2022,Sangre,Lez
W1023,Crecer,W2023,Jefe,Frescencia
W1024,Cerrar,W2024,Rostro,Sartena
W1025,Enviar,W2025,Árbol,Posto
W1026,Rey,W2026,Conocimiento,Sogro
W1027,Abierto,W2027,Lleno,Necera
W1028,Vivo,W2028,Madera,Pierte
W1029,Rato,W2029,Feliz,Rojar
W1030,Luvia,W2030,Ropa,Azanar
W1031,Cuento,W2031,Fiesta,Madar
W1032,Colocar,W2032,Viajar,Ramar
W1033,Recuerdo,W2033,Pesar,Pedifoso
W1034,Caballo,W2034,Altura,Preal
W1035,Recoger,W2035,Pared,Bargo
W1036,Piedra,W2036,Vecino,Monal
W1037,Seco,W2037,Bello,Tierzo
W1038,Esconder,W2038,Peligro,Láprina
W1039,Vuelta,W2039,Luchar,Toz
W1040,Grito,W2040,Caja,Musto
W1041,Encargar,W2041,Pegar,Trampaso
W1042,Ruido,W2042,Sonrisa,Garimbano
W1043,Labio,W2043,Funcionario,Iscólogo
W1044,Saltar,W2044,Espejo,Palideción
W1045,Alimento,W2045,Merecer,Linuación
W1046,Desnudo,W2046,Encender,Envenar
W1047,Temor,W2047,Raíz,Malecir
W1048,Pérdida,W2048,Lágrima,Quecir
W1049,Confianza,W2049,Cercano,Trebintar
W1050,Cadena,W2050,Juventud,Abamunar
W1051,Bailar,W2051,Daño,Pascado
W1052,Cuello,W2052,Búsqueda,Barlo
W1053,Robar,W2053,Silla,Transimático
W1054,Muestra,W2054,Despedir,Pente
W1055,Callar,W2055,Peligroso,Naciotes
W1056,Esquina,W2056,Puente,Profienda
W1057,Lejano,W2057,Colgar,Buel
W1058,Fiel,W2058,Cabello,Matre
W1059,Carretera,W2059,Grabar,Cina
W1060,Traje,W2060,Techo,Bras
W1061,Mentira,W2061,Moneda,Poga
W1062,Pasear,W2062,Polvo,Pastalla
W1063,Rama,W2063,Vacío,Sopriedad
W1064,Humo,W2064,Hilo,Vel
W1065,Asomar,W2065,Tarjeta,Atrigar
W1066,Sucio,W2066,Regreso,Mendecir
W1067,Escalera,W2067,Herida,Fecir
W1068,Obrero,W2068,Rincón,Pantenir
W1069,Rueda,W2069,Engañar,Reflosumir
W1070,Bolsillo,W2070,Perdido,Maltado
W1071,Dulce,W2071,Gastar,Grío
W1072,Perdido,W2072,Apagar,Neceras
W1073,Borrar,W2073,Tela,Trabasno
W1074,Adivinar,W2074,Repartir,Merrón
W1075,Cárcel,W2075,Sed,Preno
W1076,Alcalde,W2076,Amante,Tey
W1077,Rezar,W2077,Palo,Botencia
W1078,Ancho,W2078,Cuerda,Escandial
W1079,Orilla,W2079,Ciego,Pierto
W1080,Pecado,W2080,Azúcar,Plama
W1081,Alegre,W2081,Sabio,Aleno
W1082,Sudor,W2082,Borracho,Loda
W1083,Huella,W2083,Broma,Susdener
W1084,Pisar,W2084,Inquietud,Plenar
W1085,Vientre,W2085,Llanto,Grasar
W1086,Pálido,W2086,Sueldo,Desmonocer
W1087,Socio,W2087,Basura,Restir
W1088,Gota,W2088,Fallecer,Percado
W1089,Castigar,W2089,Tragar,Sicestro
W1090,Tonto,W2090,Herido,Prancipal
W1091,Picar,W2091,Inaugurar,Fergua
W1092,Orgulloso,W2092,Doloroso,Inferio
W1093,Suelto,W2093,Amable,Sez
W1094,Eje,W2094,Aliento,Nobre
W1095,Apellido,W2095,Agujero,Farmanta
W1096,Docente,W2096,Huelga,Escultante
W1097,Colega,W2097,Pluma,Premisente
W1098,Cerro,W2098,Lástima,Crecidente
W1099,Uña,W2099,Semilla,Parsonta
W1100,Chiste,W2100,Carcajada,Pano
W1101,Desafío,W2101,Almacén,Plañar
W1102,Penumbra,W2102,Seda,Premever
W1103,Resaltar,W2103,Vigilar,Trigar
W1104,Ahogar,W2104,Culpable,Flagar
W1105,Hueco,W2105,Pesadilla,Pronocido
W1106,Sabiduría,W2106,Ayuntamiento,Puntial
W1107,Tibio,W2107,Anillo,Armitencial
W1108,Cumbre,W2108,Tapar,Blello
